,filepath,filename,LangOrInstru,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,corpus_type,mat_filename,speaker/artist,gender,genre,VoiOrNot
15,data/envCorp/SONYC/audio-15/27_000939.wav,27_000939,,1,384000,48,8,0.0007291666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_000939_MS2024.mat,SONYC_27,,,0
16,data/envCorp/SONYC/audio-12/40_003842.wav,40_003842,,1,384000,48,8,0.0023541666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_003842_MS2024.mat,SONYC_40,,,0
18,data/envCorp/SONYC/audio-8/25_007644.wav,25_007644,,1,384000,48,8,0.0040625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/25_007644_MS2024.mat,SONYC_25,,,0
22,data/envCorp/SONYC/audio-18/07_001803.wav,07_001803,,1,384000,48,8,0.0006458333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/07_001803_MS2024.mat,SONYC_07,,,0
23,data/envCorp/SONYC/audio-8/07_002554.wav,07_002554,,1,384000,48,8,0.0007083333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/07_002554_MS2024.mat,SONYC_07,,,0
24,data/envCorp/SONYC/audio-9/40_004074.wav,40_004074,,1,384000,48,8,0.002895833333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_004074_MS2024.mat,SONYC_40,,,0
27,data/envCorp/SONYC/audio-12/20_001164.wav,20_001164,,1,384000,48,8,0.0007708333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/20_001164_MS2024.mat,SONYC_20,,,0
28,data/envCorp/SONYC/audio-13/49_027426.wav,49_027426,,1,384000,48,8,0.01885416666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/49_027426_MS2024.mat,SONYC_49,,,0
30,data/envCorp/SONYC/audio-14/01_003968.wav,01_003968,,1,384000,48,8,0.0004166666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_003968_MS2024.mat,SONYC_01,,,0
31,data/envCorp/SONYC/audio-16/17_016718.wav,17_016718,,1,384000,48,8,0.000625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/17_016718_MS2024.mat,SONYC_17,,,0
34,data/envCorp/SONYC/audio-5/38_020046.wav,38_020046,,1,384000,48,8,0.0015416666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_020046_MS2024.mat,SONYC_38,,,0
35,data/envCorp/SONYC/audio-13/07_016299.wav,07_016299,,1,384000,48,8,0.0009583333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/07_016299_MS2024.mat,SONYC_07,,,0
36,data/envCorp/SONYC/audio-17/37_020473.wav,37_020473,,1,384000,48,8,0.0016666666666666668,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/37_020473_MS2024.mat,SONYC_37,,,0
42,data/envCorp/SONYC/audio-4/19_009659.wav,19_009659,,1,384000,48,8,0.004833333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/19_009659_MS2024.mat,SONYC_19,,,0
44,data/envCorp/SONYC/audio-11/11_018413.wav,11_018413,,1,384000,48,8,0.0025416666666666665,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/11_018413_MS2024.mat,SONYC_11,,,0
46,data/envCorp/SONYC/audio-8/38_005349.wav,38_005349,,1,384000,48,8,0.0066458333333333335,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_005349_MS2024.mat,SONYC_38,,,0
47,data/envCorp/SONYC/audio-15/04_003628.wav,04_003628,,1,384000,48,8,0.00047916666666666664,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/04_003628_MS2024.mat,SONYC_04,,,0
48,data/envCorp/SONYC/audio-8/21_017370.wav,21_017370,,1,384000,48,8,0.0014583333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/21_017370_MS2024.mat,SONYC_21,,,0
51,data/envCorp/SONYC/audio-17/04_011014.wav,04_011014,,1,384000,48,8,0.0008958333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/04_011014_MS2024.mat,SONYC_04,,,0
52,data/envCorp/SONYC/audio-0/34_011877.wav,34_011877,,1,384000,48,8,0.0021458333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_011877_MS2024.mat,SONYC_34,,,0
53,data/envCorp/SONYC/audio-7/40_003686.wav,40_003686,,1,384000,48,8,0.0011666666666666668,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_003686_MS2024.mat,SONYC_40,,,0
55,data/envCorp/SONYC/audio-18/38_005134.wav,38_005134,,1,384000,48,8,0.007354166666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_005134_MS2024.mat,SONYC_38,,,0
57,data/envCorp/SONYC/audio-9/27_003459.wav,27_003459,,1,384000,48,8,0.0026875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_003459_MS2024.mat,SONYC_27,,,0
58,data/envCorp/SONYC/audio-15/02_001021.wav,02_001021,,1,384000,48,8,0.001,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/02_001021_MS2024.mat,SONYC_02,,,0
62,data/envCorp/SONYC/audio-16/37_008062.wav,37_008062,,1,384000,48,8,0.0031458333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/37_008062_MS2024.mat,SONYC_37,,,0
65,data/envCorp/SONYC/audio-4/23_027098.wav,23_027098,,1,384000,48,8,0.0026041666666666665,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/23_027098_MS2024.mat,SONYC_23,,,0
66,data/envCorp/SONYC/audio-8/22_027684.wav,22_027684,,1,384000,48,8,0.006895833333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/22_027684_MS2024.mat,SONYC_22,,,0
68,data/envCorp/SONYC/audio-11/25_007111.wav,25_007111,,1,384000,48,8,0.0011458333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/25_007111_MS2024.mat,SONYC_25,,,0
70,data/envCorp/SONYC/audio-13/35_013642.wav,35_013642,,1,384000,48,8,0.0016458333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/35_013642_MS2024.mat,SONYC_35,,,0
72,data/envCorp/SONYC/audio-17/27_004783.wav,27_004783,,1,384000,48,8,0.0014583333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_004783_MS2024.mat,SONYC_27,,,0
74,data/envCorp/SONYC/audio-5/02_013302.wav,02_013302,,1,384000,48,8,0.00225,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/02_013302_MS2024.mat,SONYC_02,,,0
75,data/envCorp/SONYC/audio-12/27_006718.wav,27_006718,,1,384000,48,8,0.0005625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_006718_MS2024.mat,SONYC_27,,,0
76,data/envCorp/SONYC/audio-15/41_004263.wav,41_004263,,1,384000,48,8,0.0026666666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/41_004263_MS2024.mat,SONYC_41,,,0
78,data/envCorp/SONYC/audio-16/39_010190.wav,39_010190,,1,384000,48,8,0.014395833333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/39_010190_MS2024.mat,SONYC_39,,,0
80,data/envCorp/SONYC/audio-15/24_019527.wav,24_019527,,1,384000,48,8,0.00275,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/24_019527_MS2024.mat,SONYC_24,,,0
81,data/envCorp/SONYC/audio-2/38_016355.wav,38_016355,,1,384000,48,8,0.0028125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_016355_MS2024.mat,SONYC_38,,,0
82,data/envCorp/SONYC/audio-8/19_000532.wav,19_000532,,1,384000,48,8,0.0031875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/19_000532_MS2024.mat,SONYC_19,,,0
85,data/envCorp/SONYC/audio-12/01_009763.wav,01_009763,,1,384000,48,8,0.013125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_009763_MS2024.mat,SONYC_01,,,0
86,data/envCorp/SONYC/audio-0/20_017150.wav,20_017150,,1,384000,48,8,0.007458333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/20_017150_MS2024.mat,SONYC_20,,,0
88,data/envCorp/SONYC/audio-17/23_019195.wav,23_019195,,1,384000,48,8,0.0018333333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/23_019195_MS2024.mat,SONYC_23,,,0
89,data/envCorp/SONYC/audio-8/01_007802.wav,01_007802,,1,384000,48,8,0.00425,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_007802_MS2024.mat,SONYC_01,,,0
91,data/envCorp/SONYC/audio-8/06_007521.wav,06_007521,,1,384000,48,8,0.0020208333333333332,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/06_007521_MS2024.mat,SONYC_06,,,0
93,data/envCorp/SONYC/audio-8/31_009862.wav,31_009862,,1,384000,48,8,0.015875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/31_009862_MS2024.mat,SONYC_31,,,0
94,data/envCorp/SONYC/audio-10/29_017581.wav,29_017581,,1,384000,48,8,0.0010833333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/29_017581_MS2024.mat,SONYC_29,,,0
96,data/envCorp/SONYC/audio-16/09_009920.wav,09_009920,,1,384000,48,8,0.0010625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/09_009920_MS2024.mat,SONYC_09,,,0
97,data/envCorp/SONYC/audio-16/09_011992.wav,09_011992,,1,384000,48,8,0.0026875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/09_011992_MS2024.mat,SONYC_09,,,0
99,data/envCorp/SONYC/audio-15/29_004830.wav,29_004830,,1,384000,48,8,0.0019375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/29_004830_MS2024.mat,SONYC_29,,,0
100,data/envCorp/SONYC/audio-10/40_001302.wav,40_001302,,1,384000,48,8,0.0025625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_001302_MS2024.mat,SONYC_40,,,0
101,data/envCorp/SONYC/audio-8/34_008987.wav,34_008987,,1,384000,48,8,0.0018125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_008987_MS2024.mat,SONYC_34,,,0
103,data/envCorp/SONYC/audio-16/26_001905.wav,26_001905,,1,384000,48,8,0.0005,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/26_001905_MS2024.mat,SONYC_26,,,0
104,data/envCorp/SONYC/audio-12/04_005809.wav,04_005809,,1,384000,48,8,0.001375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/04_005809_MS2024.mat,SONYC_04,,,0
105,data/envCorp/SONYC/audio-8/18_000164.wav,18_000164,,1,384000,48,8,0.0041041666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/18_000164_MS2024.mat,SONYC_18,,,0
108,data/envCorp/SONYC/audio-15/17_010580.wav,17_010580,,1,384000,48,8,0.007166666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/17_010580_MS2024.mat,SONYC_17,,,0
109,data/envCorp/SONYC/audio-5/27_018139.wav,27_018139,,1,384000,48,8,0.001875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_018139_MS2024.mat,SONYC_27,,,0
110,data/envCorp/SONYC/audio-15/04_019329.wav,04_019329,,1,384000,48,8,0.0021666666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/04_019329_MS2024.mat,SONYC_04,,,0
112,data/envCorp/SONYC/audio-16/10_019896.wav,10_019896,,1,384000,48,8,0.0018125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/10_019896_MS2024.mat,SONYC_10,,,0
113,data/envCorp/SONYC/audio-13/29_019346.wav,29_019346,,1,384000,48,8,0.0020625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/29_019346_MS2024.mat,SONYC_29,,,0
116,data/envCorp/SONYC/audio-9/02_007791.wav,02_007791,,1,384000,48,8,0.0010625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/02_007791_MS2024.mat,SONYC_02,,,0
117,data/envCorp/SONYC/audio-14/11_011250.wav,11_011250,,1,384000,48,8,0.0011458333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/11_011250_MS2024.mat,SONYC_11,,,0
118,data/envCorp/SONYC/audio-16/01_005503.wav,01_005503,,1,384000,48,8,0.0064375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_005503_MS2024.mat,SONYC_01,,,0
120,data/envCorp/SONYC/audio-16/39_018862.wav,39_018862,,1,384000,48,8,0.0021666666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/39_018862_MS2024.mat,SONYC_39,,,0
122,data/envCorp/SONYC/audio-15/31_010408.wav,31_010408,,1,384000,48,8,0.0003125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/31_010408_MS2024.mat,SONYC_31,,,0
123,data/envCorp/SONYC/audio-4/40_004448.wav,40_004448,,1,384000,48,8,0.0015625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_004448_MS2024.mat,SONYC_40,,,0
126,data/envCorp/SONYC/audio-15/16_000107.wav,16_000107,,1,384000,48,8,0.0069375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/16_000107_MS2024.mat,SONYC_16,,,0
128,data/envCorp/SONYC/audio-5/21_013067.wav,21_013067,,1,384000,48,8,0.0009583333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/21_013067_MS2024.mat,SONYC_21,,,0
130,data/envCorp/SONYC/audio-15/07_007468.wav,07_007468,,1,384000,48,8,0.0006666666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/07_007468_MS2024.mat,SONYC_07,,,0
131,data/envCorp/SONYC/audio-13/16_018824.wav,16_018824,,1,384000,48,8,0.006416666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/16_018824_MS2024.mat,SONYC_16,,,0
133,data/envCorp/SONYC/audio-16/40_001148.wav,40_001148,,1,384000,48,8,0.004916666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_001148_MS2024.mat,SONYC_40,,,0
134,data/envCorp/SONYC/audio-8/45_027050.wav,45_027050,,1,384000,48,8,0.0013125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/45_027050_MS2024.mat,SONYC_45,,,0
135,data/envCorp/SONYC/audio-16/01_012320.wav,01_012320,,1,384000,48,8,0.006604166666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_012320_MS2024.mat,SONYC_01,,,0
136,data/envCorp/SONYC/audio-4/25_007278.wav,25_007278,,1,384000,48,8,0.00225,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/25_007278_MS2024.mat,SONYC_25,,,0
138,data/envCorp/SONYC/audio-8/34_008602.wav,34_008602,,1,384000,48,8,0.001875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_008602_MS2024.mat,SONYC_34,,,0
139,data/envCorp/SONYC/audio-7/23_008219.wav,23_008219,,1,384000,48,8,0.001625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/23_008219_MS2024.mat,SONYC_23,,,0
140,data/envCorp/SONYC/audio-17/16_010931.wav,16_010931,,1,384000,48,8,0.0010833333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/16_010931_MS2024.mat,SONYC_16,,,0
141,data/envCorp/SONYC/audio-14/31_003476.wav,31_003476,,1,384000,48,8,0.007208333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/31_003476_MS2024.mat,SONYC_31,,,0
142,data/envCorp/SONYC/audio-3/40_001998.wav,40_001998,,1,384000,48,8,0.0011041666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_001998_MS2024.mat,SONYC_40,,,0
143,data/envCorp/SONYC/audio-7/19_009313.wav,19_009313,,1,384000,48,8,0.003395833333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/19_009313_MS2024.mat,SONYC_19,,,0
144,data/envCorp/SONYC/audio-8/01_007787.wav,01_007787,,1,384000,48,8,0.0005208333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_007787_MS2024.mat,SONYC_01,,,0
146,data/envCorp/SONYC/audio-15/37_004502.wav,37_004502,,1,384000,48,8,0.001979166666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/37_004502_MS2024.mat,SONYC_37,,,0
147,data/envCorp/SONYC/audio-11/31_010056.wav,31_010056,,1,384000,48,8,0.0141875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/31_010056_MS2024.mat,SONYC_31,,,0
148,data/envCorp/SONYC/audio-8/03_009441.wav,03_009441,,1,384000,48,8,0.0031041666666666665,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/03_009441_MS2024.mat,SONYC_03,,,0
149,data/envCorp/SONYC/audio-9/32_008822.wav,32_008822,,1,384000,48,8,0.0008958333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/32_008822_MS2024.mat,SONYC_32,,,0
150,data/envCorp/SONYC/audio-3/27_017494.wav,27_017494,,1,384000,48,8,0.0020625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_017494_MS2024.mat,SONYC_27,,,0
152,data/envCorp/SONYC/audio-11/34_012708.wav,34_012708,,1,384000,48,8,0.0013541666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_012708_MS2024.mat,SONYC_34,,,0
153,data/envCorp/SONYC/audio-9/07_016920.wav,07_016920,,1,384000,48,8,0.0008333333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/07_016920_MS2024.mat,SONYC_07,,,0
154,data/envCorp/SONYC/audio-7/34_004628.wav,34_004628,,1,384000,48,8,0.001,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_004628_MS2024.mat,SONYC_34,,,0
155,data/envCorp/SONYC/audio-11/37_006834.wav,37_006834,,1,384000,48,8,0.0005833333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/37_006834_MS2024.mat,SONYC_37,,,0
158,data/envCorp/SONYC/audio-6/31_009085.wav,31_009085,,1,384000,48,8,0.0070416666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/31_009085_MS2024.mat,SONYC_31,,,0
159,data/envCorp/SONYC/audio-15/26_009810.wav,26_009810,,1,384000,48,8,0.0026041666666666665,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/26_009810_MS2024.mat,SONYC_26,,,0
160,data/envCorp/SONYC/audio-1/01_005320.wav,01_005320,,1,384000,48,8,0.00125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_005320_MS2024.mat,SONYC_01,,,0
161,data/envCorp/SONYC/audio-6/33_007343.wav,33_007343,,1,384000,48,8,0.0022291666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/33_007343_MS2024.mat,SONYC_33,,,0
162,data/envCorp/SONYC/audio-10/40_001274.wav,40_001274,,1,384000,48,8,0.0013333333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_001274_MS2024.mat,SONYC_40,,,0
164,data/envCorp/SONYC/audio-11/31_010734.wav,31_010734,,1,384000,48,8,0.0017916666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/31_010734_MS2024.mat,SONYC_31,,,0
166,data/envCorp/SONYC/audio-5/07_020281.wav,07_020281,,1,384000,48,8,0.004375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/07_020281_MS2024.mat,SONYC_07,,,0
167,data/envCorp/SONYC/audio-12/00_017337.wav,00_017337,,1,384000,48,8,0.003125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/00_017337_MS2024.mat,SONYC_00,,,0
168,data/envCorp/SONYC/audio-1/38_006590.wav,38_006590,,1,384000,48,8,0.004666666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/38_006590_MS2024.mat,SONYC_38,,,0
170,data/envCorp/SONYC/audio-9/33_019200.wav,33_019200,,1,384000,48,8,0.00175,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/33_019200_MS2024.mat,SONYC_33,,,0
172,data/envCorp/SONYC/audio-16/27_006424.wav,27_006424,,1,384000,48,8,0.0016666666666666668,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_006424_MS2024.mat,SONYC_27,,,0
173,data/envCorp/SONYC/audio-12/01_019837.wav,01_019837,,1,384000,48,8,0.0033125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_019837_MS2024.mat,SONYC_01,,,0
177,data/envCorp/SONYC/audio-12/40_000540.wav,40_000540,,1,384000,48,8,0.0021875,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_000540_MS2024.mat,SONYC_40,,,0
178,data/envCorp/SONYC/audio-16/37_017368.wav,37_017368,,1,384000,48,8,0.0007083333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/37_017368_MS2024.mat,SONYC_37,,,0
183,data/envCorp/SONYC/audio-17/00_002822.wav,00_002822,,1,384000,48,8,0.003625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/00_002822_MS2024.mat,SONYC_00,,,0
187,data/envCorp/SONYC/audio-0/16_010097.wav,16_010097,,1,384000,48,8,0.0049375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/16_010097_MS2024.mat,SONYC_16,,,0
190,data/envCorp/SONYC/audio-10/34_010687.wav,34_010687,,1,384000,48,8,0.001,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_010687_MS2024.mat,SONYC_34,,,0
192,data/envCorp/SONYC/audio-18/32_010429.wav,32_010429,,1,384000,48,8,0.0020625,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/32_010429_MS2024.mat,SONYC_32,,,0
193,data/envCorp/SONYC/audio-13/04_018721.wav,04_018721,,1,384000,48,8,0.0025208333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/04_018721_MS2024.mat,SONYC_04,,,0
195,data/envCorp/SONYC/audio-14/00_019949.wav,00_019949,,1,384000,48,8,0.0012916666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/00_019949_MS2024.mat,SONYC_00,,,0
196,data/envCorp/SONYC/audio-0/33_007109.wav,33_007109,,1,384000,48,8,0.0019166666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/33_007109_MS2024.mat,SONYC_33,,,0
197,data/envCorp/SONYC/audio-15/27_011565.wav,27_011565,,1,384000,48,8,0.004583333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_011565_MS2024.mat,SONYC_27,,,0
200,data/envCorp/SONYC/audio-10/01_001676.wav,01_001676,,1,384000,48,8,0.007083333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/01_001676_MS2024.mat,SONYC_01,,,0
201,data/envCorp/SONYC/audio-14/25_002550.wav,25_002550,,1,384000,48,8,0.0009166666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/25_002550_MS2024.mat,SONYC_25,,,0
205,data/envCorp/SONYC/audio-2/00_009360.wav,00_009360,,1,384000,48,8,0.003416666666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/00_009360_MS2024.mat,SONYC_00,,,0
208,data/envCorp/SONYC/audio-2/34_020307.wav,34_020307,,1,384000,48,8,0.0021458333333333334,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/34_020307_MS2024.mat,SONYC_34,,,0
209,data/envCorp/SONYC/audio-6/16_017982.wav,16_017982,,1,384000,48,8,0.0013125,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/16_017982_MS2024.mat,SONYC_16,,,0
212,data/envCorp/SONYC/audio-11/35_006098.wav,35_006098,,1,384000,48,8,0.0002708333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/35_006098_MS2024.mat,SONYC_35,,,0
213,data/envCorp/SONYC/audio-6/27_006265.wav,27_006265,,1,384000,48,8,0.0004583333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/27_006265_MS2024.mat,SONYC_27,,,0
214,data/envCorp/SONYC/audio-7/02_009349.wav,02_009349,,1,384000,48,8,0.005354166666666667,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/02_009349_MS2024.mat,SONYC_02,,,0
215,data/envCorp/SONYC/audio-9/00_012076.wav,00_012076,,1,384000,48,8,0.0005208333333333333,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/00_012076_MS2024.mat,SONYC_00,,,0
216,data/envCorp/SONYC/audio-18/40_001402.wav,40_001402,,1,384000,48,8,0.0031666666666666666,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/40_001402_MS2024.mat,SONYC_40,,,0
218,data/envCorp/SONYC/audio-15/17_013671.wav,17_013671,,1,384000,48,8,0.001375,8,SONYC,env,STM_output/MATs/env_mat_wl4_SONYC/17_013671_MS2024.mat,SONYC_17,,,0
