,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre,corpus_type
18,"data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Debussy, Violin Sonata - 1 Allegro vivo-16.wav","Debussy, Violin Sonata - 1 Allegro vivo-16",pia-vio,0.0,1,882000,44.1,20,0.0036734693877551,20,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/Debussy, Violin Sonata - 1 Allegro vivo-16_MS2024.mat","Debussy, Violin Sonata - 1 Allegro vivo",,,music
19,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Good Vibrations-1.wav,01 Good Vibrations-1,gel-sax,0.0,1,882000,44.1,20,0.0065306122448979,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Good Vibrations-1_MS2024.mat,01 Good Vibrations,,,music
20,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/agw_-_03_-_st. elmo_s fire-2.wav,agw_-_03_-_st. elmo_s fire-2,gac-pia,0.0,1,352800,44.1,8,0.0015646258503401,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/agw_-_03_-_st. elmo_s fire-2_MS2024.mat,agw_-_03_-_st. elmo_s fire,,,music
21,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/keith jarrett - arbour zena - 01 - runes-41.wav,keith jarrett - arbour zena - 01 - runes-41,pia-sax,0.0,1,882000,44.1,20,0.0011791383219954,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/keith jarrett - arbour zena - 01 - runes-41_MS2024.mat,keith jarrett - arbour zena - 01 - runes,,,music
22,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/2004 - Tierra Santa - Apocalipsis - Neron-16.wav,2004 - Tierra Santa - Apocalipsis - Neron-16,gel-voi,1.0,1,882000,44.1,20,0.0005895691609977,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/2004 - Tierra Santa - Apocalipsis - Neron-16_MS2024.mat,2004 - Tierra Santa - Apocalipsis - Neron,,,music
23,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Metallica - Nothing Else Matters-1.wav,Metallica - Nothing Else Matters-1,gel,0.0,1,882000,44.1,20,0.1405442176870748,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Metallica - Nothing Else Matters-1_MS2024.mat,Metallica - Nothing Else Matters,,,music
24,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Madredeus - Oica la o Senhor Vinho-1.wav,Madredeus - Oica la o Senhor Vinho-1,gac,0.0,1,352800,44.1,8,0.0022222222222222,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Madredeus - Oica la o Senhor Vinho-1_MS2024.mat,Madredeus - Oica la o Senhor Vinho,,,music
25,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Volunteered Slavery-11.wav,01 Volunteered Slavery-11,pia-sax-tru,0.0,1,882000,44.1,20,0.0010884353741496,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Volunteered Slavery-11_MS2024.mat,01 Volunteered Slavery,,,music
26,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01) Bert Jansch - Avocet-24.wav,01) Bert Jansch - Avocet-24,gac-vio,0.0,1,882000,44.1,20,0.0030385487528344,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01) Bert Jansch - Avocet-24_MS2024.mat,01) Bert Jansch - Avocet,,,music
27,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Georgia On My Mind-8.wav,Georgia On My Mind-8,pia-voi,1.0,1,882000,44.1,20,0.0044217687074829,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Georgia On My Mind-8_MS2024.mat,Georgia On My Mind,,,music
28,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/1998 - HammerFall - Legacy of kings -  Heeding the call-11.wav,1998 - HammerFall - Legacy of kings -  Heeding the call-11,gel,0.0,1,882000,44.1,20,0.000907029478458,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/1998 - HammerFall - Legacy of kings -  Heeding the call-11_MS2024.mat,1998 - HammerFall - Legacy of kings -  Heeding the call,,,music
29,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Just One Of Those Things-6.wav,01 Just One Of Those Things-6,pia-sax,0.0,1,882000,44.1,20,0.0011111111111111,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Just One Of Those Things-6_MS2024.mat,01 Just One Of Those Things,,,music
30,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/02 entangled-3.wav,02 entangled-3,gac-gel-voi,1.0,1,882000,44.1,20,0.0062811791383219,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/02 entangled-3_MS2024.mat,02 entangled,,,music
31,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Blue Train-27.wav,01 Blue Train-27,pia,0.0,1,882000,44.1,20,0.0035374149659863,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Blue Train-27_MS2024.mat,01 Blue Train,,,music
32,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01-mogwai-i_m_jim_morrison_i_m_dead-cocmp3-10.wav,01-mogwai-i_m_jim_morrison_i_m_dead-cocmp3-10,gel-pia,0.0,1,882000,44.1,20,0.0019954648526077,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01-mogwai-i_m_jim_morrison_i_m_dead-cocmp3-10_MS2024.mat,01-mogwai-i_m_jim_morrison_i_m_dead-cocmp3,,,music
33,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Start Making Noise-11.wav,01 Start Making Noise-11,gac-voi,1.0,1,882000,44.1,20,0.0009977324263038,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Start Making Noise-11_MS2024.mat,01 Start Making Noise,,,music
34,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/edgar froese - epsilon in malaysian pale 1-31.wav,edgar froese - epsilon in malaysian pale 1-31,flu,0.0,1,882000,44.1,20,0.0022675736961451,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/edgar froese - epsilon in malaysian pale 1-31_MS2024.mat,edgar froese - epsilon in malaysian pale 1,,,music
35,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/arvo p_rt - alina - 01 - spiegel im spiegel-1.wav,arvo p_rt - alina - 01 - spiegel im spiegel-1,pia,0.0,1,529200,44.1,12,0.0085034013605442,12,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/arvo p_rt - alina - 01 - spiegel im spiegel-1_MS2024.mat,arvo p_rt - alina - 01 - spiegel im spiegel,,,music
36,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Blue Train-10.wav,01 Blue Train-10,pia-sax,0.0,1,882000,44.1,20,0.0015873015873015,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Blue Train-10_MS2024.mat,01 Blue Train,,,music
37,"data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/08-Concerto in A major, K 219 -2- Adagio-8.wav","08-Concerto in A major, K 219 -2- Adagio-8",cla,0.0,1,705600,44.1,16,0.0099773242630385,16,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/08-Concerto in A major, K 219 -2- Adagio-8_MS2024.mat","08-Concerto in A major, K 219 -2- Adagio",,,music
38,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Gesualdo - Io tacero-13.wav,Gesualdo - Io tacero-13,voi,1.0,1,882000,44.1,20,0.003718820861678,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Gesualdo - Io tacero-13_MS2024.mat,Gesualdo - Io tacero,,,music
39,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Track 01-15.wav,Track 01-15,gac-vio,0.0,1,529200,44.1,12,0.0009977324263038,12,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Track 01-15_MS2024.mat,Track 01,,,music
40,"data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/05 - Gidon Kremer - Violin Concerto No. 5 In A Major, K. 219- Adagio - Gidon Kremer-5.wav","05 - Gidon Kremer - Violin Concerto No. 5 In A Major, K. 219- Adagio - Gidon Kremer-5",vio,0.0,1,882000,44.1,20,0.2112244897959183,20,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/05 - Gidon Kremer - Violin Concerto No. 5 In A Major, K. 219- Adagio - Gidon Kremer-5_MS2024.mat","05 - Gidon Kremer - Violin Concerto No. 5 In A Major, K. 219- Adagio - Gidon Kremer",,,music
41,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/arvo p_rt - alina - 01 - spiegel im spiegel-22.wav,arvo p_rt - alina - 01 - spiegel im spiegel-22,pia-vio,0.0,1,882000,44.1,20,0.002766439909297,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/arvo p_rt - alina - 01 - spiegel im spiegel-22_MS2024.mat,arvo p_rt - alina - 01 - spiegel im spiegel,,,music
42,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/keith jarrett - arbour zena - 01 - runes-14.wav,keith jarrett - arbour zena - 01 - runes-14,cel-pia,0.0,1,882000,44.1,20,0.0019501133786848,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/keith jarrett - arbour zena - 01 - runes-14_MS2024.mat,keith jarrett - arbour zena - 01 - runes,,,music
43,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/25 - Stuck On You-1.wav,25 - Stuck On You-1,pia-voi,1.0,1,882000,44.1,20,0.0038775510204081,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/25 - Stuck On You-1_MS2024.mat,25 - Stuck On You,,,music
44,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/06 - The partisan-12.wav,06 - The partisan-12,gac,0.0,1,176400,44.1,4,0.0058049886621315,4,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/06 - The partisan-12_MS2024.mat,06 - The partisan,,,music
45,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01) Bert Jansch - Avocet-46.wav,01) Bert Jansch - Avocet-46,flu-gac,0.0,1,882000,44.1,20,0.0051927437641723,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01) Bert Jansch - Avocet-46_MS2024.mat,01) Bert Jansch - Avocet,,,music
46,"data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Debussy, Sonata for Violin _ Piano - 1 Allegro vivo-10.wav","Debussy, Sonata for Violin _ Piano - 1 Allegro vivo-10",pia-vio,0.0,1,882000,44.1,20,0.0121768707482993,20,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/Debussy, Sonata for Violin _ Piano - 1 Allegro vivo-10_MS2024.mat","Debussy, Sonata for Violin _ Piano - 1 Allegro vivo",,,music
47,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/15_more than a feeling - boston-7.wav,15_more than a feeling - boston-7,gac,0.0,1,352800,44.1,8,0.0021315192743764,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/15_more than a feeling - boston-7_MS2024.mat,15_more than a feeling - boston,,,music
48,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/02 - Time Remembered-10.wav,02 - Time Remembered-10,gel-pia,0.0,1,882000,44.1,20,0.0043083900226757,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/02 - Time Remembered-10_MS2024.mat,02 - Time Remembered,,,music
49,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/arvo p_rt - alina - 01 - spiegel im spiegel-15.wav,arvo p_rt - alina - 01 - spiegel im spiegel-15,pia-vio,0.0,1,882000,44.1,20,0.0023356009070294,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/arvo p_rt - alina - 01 - spiegel im spiegel-15_MS2024.mat,arvo p_rt - alina - 01 - spiegel im spiegel,,,music
50,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/keith jarrett - arbour zena - 01 - runes-23.wav,keith jarrett - arbour zena - 01 - runes-23,pia,0.0,1,882000,44.1,20,0.2773469387755102,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/keith jarrett - arbour zena - 01 - runes-23_MS2024.mat,keith jarrett - arbour zena - 01 - runes,,,music
51,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Fingerstyle Guitar Magazine #47 - 01 - Liona Boyd - Carretera Libertad-5.wav,Fingerstyle Guitar Magazine #47 - 01 - Liona Boyd - Carretera Libertad-5,gac,0.0,1,352800,44.1,8,0.4053061224489795,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Fingerstyle Guitar Magazine #47 - 01 - Liona Boyd - Carretera Libertad-5_MS2024.mat,Fingerstyle Guitar Magazine #47 - 01 - Liona Boyd - Carretera Libertad,,,music
52,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 the other side of the crash_over-15.wav,01 the other side of the crash_over-15,gel,0.0,1,882000,44.1,20,0.0006122448979591,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 the other side of the crash_over-15_MS2024.mat,01 the other side of the crash_over,,,music
53,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Debussy - Arabesque-7.wav,Debussy - Arabesque-7,pia,0.0,1,882000,44.1,20,0.0056462585034013,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Debussy - Arabesque-7_MS2024.mat,Debussy - Arabesque,,,music
54,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/meshuggah - catch 33 - 13 - sum-2.wav,meshuggah - catch 33 - 13 - sum-2,gel,0.0,1,882000,44.1,20,0.0007029478458049,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/meshuggah - catch 33 - 13 - sum-2_MS2024.mat,meshuggah - catch 33 - 13 - sum,,,music
55,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/The Police - 01 - Synchronicity I-4.wav,The Police - 01 - Synchronicity I-4,gel-org-voi,1.0,1,529200,44.1,12,0.0006802721088435,12,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/The Police - 01 - Synchronicity I-4_MS2024.mat,The Police - 01 - Synchronicity I,,,music
56,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Jelly Roll Morton - Honky Tonk Blues-16.wav,Jelly Roll Morton - Honky Tonk Blues-16,pia-voi,1.0,1,176400,44.1,4,0.31718820861678,4,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Jelly Roll Morton - Honky Tonk Blues-16_MS2024.mat,Jelly Roll Morton - Honky Tonk Blues,,,music
57,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Emily-23.wav,01 Emily-23,cel-vio-voi,1.0,1,882000,44.1,20,0.0033106575963718,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 Emily-23_MS2024.mat,01 Emily,,,music
58,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/nine inch nails - the fragile cd1 - 12 - the great below-5.wav,nine inch nails - the fragile cd1 - 12 - the great below-5,voi,1.0,1,705600,44.1,16,0.0031519274376417,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/nine inch nails - the fragile cd1 - 12 - the great below-5_MS2024.mat,nine inch nails - the fragile cd1 - 12 - the great below,,,music
59,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Jelly Roll Morton - Honky Tonk Blues-21.wav,Jelly Roll Morton - Honky Tonk Blues-21,pia-voi,1.0,1,882000,44.1,20,0.2201587301587301,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Jelly Roll Morton - Honky Tonk Blues-21_MS2024.mat,Jelly Roll Morton - Honky Tonk Blues,,,music
60,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/02 - Bo-Do-14.wav,02 - Bo-Do-14,pia,0.0,1,882000,44.1,20,0.0163038548752834,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/02 - Bo-Do-14_MS2024.mat,02 - Bo-Do,,,music
61,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/109-jimmy_mcgriff-jumpin_the_blues-6.wav,109-jimmy_mcgriff-jumpin_the_blues-6,gel-org,0.0,1,882000,44.1,20,0.0088435374149659,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/109-jimmy_mcgriff-jumpin_the_blues-6_MS2024.mat,109-jimmy_mcgriff-jumpin_the_blues,,,music
62,data/musicCorp/IRMAS/IRMAS-TestingData-Part3/Part3/06 - Lali Puna - Faking the Books-7.wav,06 - Lali Puna - Faking the Books-7,gac-voi,1.0,1,882000,44.1,20,0.0021088435374149,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/06 - Lali Puna - Faking the Books-7_MS2024.mat,06 - Lali Puna - Faking the Books,,,music
63,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 the other side of the crash_over-22.wav,01 the other side of the crash_over-22,gel,0.0,1,352800,44.1,8,0.0004308390022675,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 the other side of the crash_over-22_MS2024.mat,01 the other side of the crash_over,,,music
64,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/0050_10CC___I_M_NOT_IN_LOVE-9.wav,0050_10CC___I_M_NOT_IN_LOVE-9,pia,0.0,1,176400,44.1,4,0.0008616780045351,4,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/0050_10CC___I_M_NOT_IN_LOVE-9_MS2024.mat,0050_10CC___I_M_NOT_IN_LOVE,,,music
65,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01. Flight Time-19.wav,01. Flight Time-19,flu-gel-pia,0.0,1,882000,44.1,20,0.0020408163265306,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01. Flight Time-19_MS2024.mat,01. Flight Time,,,music
66,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/The Failure-21.wav,The Failure-21,gel,0.0,1,705600,44.1,16,0.0344897959183673,16,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/The Failure-21_MS2024.mat,The Failure,,,music
67,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 - So What-29.wav,01 - So What-29,pia,0.0,1,882000,44.1,20,0.0101360544217687,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/01 - So What-29_MS2024.mat,01 - So What,,,music
68,"data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/01 Julian Bream - Albeniz- Mallorca, Opus 202-7.wav","01 Julian Bream - Albeniz- Mallorca, Opus 202-7",gac,0.0,1,882000,44.1,20,0.7958503401360544,20,IRMAS,"STM_output/MATs/music_mat_wl4_IRMAS/01 Julian Bream - Albeniz- Mallorca, Opus 202-7_MS2024.mat","01 Julian Bream - Albeniz- Mallorca, Opus 202",,,music
69,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Track 01-5.wav,Track 01-5,gac-gel,0.0,1,529200,44.1,12,0.0032879818594104,12,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Track 01-5_MS2024.mat,Track 01,,,music
70,data/musicCorp/IRMAS/IRMAS-TestingData-Part1/Part1/1 - Hank_s Other Bag-1.wav,1 - Hank_s Other Bag-1,sax-tru,0.0,1,176400,44.1,4,0.0009750566893424,4,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/1 - Hank_s Other Bag-1_MS2024.mat,1 - Hank_s Other Bag,,,music
71,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/Yngwie Malmsteen - Gimme gimme gimme-12.wav,Yngwie Malmsteen - Gimme gimme gimme-12,gel,0.0,1,882000,44.1,20,0.0007482993197278,20,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/Yngwie Malmsteen - Gimme gimme gimme-12_MS2024.mat,Yngwie Malmsteen - Gimme gimme gimme,,,music
72,data/musicCorp/IRMAS/IRMAS-TestingData-Part2/IRTestingData-Part2/The Failure-16.wav,The Failure-16,gel,0.0,1,352800,44.1,8,0.0561678004535147,8,IRMAS,STM_output/MATs/music_mat_wl4_IRMAS/The Failure-16_MS2024.mat,The Failure,,,music
