,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,gender,speaker/artist,Genre,corpus_type
10,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/22 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 2_ Var. 1.m4a","22 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 2_ Var. 1",piano,0,1,1940400,44.1,44,0.0110884353741496,44,CD,"STM_output/MATs/music_mat_wl4_CD/22 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 2_ Var. 1_MS2024.mat",,Evgeny Kissin,Classical,music
11,"data/musicCorp/CD/Julian Bream/Bream Collection, Vol. 9 - Baroque Guitar/23 Cimarosa_ Sonata In C Sharp Minor.m4a",23 Cimarosa_ Sonata In C Sharp Minor,guitar,0,1,5292000,44.1,120,0.3908390022675737,120,CD,STM_output/MATs/music_mat_wl4_CD/23 Cimarosa_ Sonata In C Sharp Minor_MS2024.mat,,Julian Bream,Classical,music
12,data/musicCorp/CD/Arcade Fire/Arcade Fire/10 Month Of May.m4a,10 Month Of May,multi_Voi,1,1,5292000,44.1,120,0.3014512471655329,120,CD,STM_output/MATs/music_mat_wl4_CD/10 Month Of May_MS2024.mat,,Arcade Fire,Rock,music
14,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/09 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 2.m4a","09 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 2",piano,0,1,1058400,44.1,24,0.105079365079365,24,CD,"STM_output/MATs/music_mat_wl4_CD/09 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 2_MS2024.mat",,Evgeny Kissin,Classical,music
15,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/11 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 4.m4a","11 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 4",piano,0,1,2822400,44.1,64,0.1092743764172335,64,CD,"STM_output/MATs/music_mat_wl4_CD/11 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 4_MS2024.mat",,Evgeny Kissin,Classical,music
16,data/musicCorp/CD/The Dave Brubeck Quartet/Time Out/03 Take Five.m4a,03 Take Five,multi,0,1,5292000,44.1,120,0.0377777777777777,120,CD,STM_output/MATs/music_mat_wl4_CD/03 Take Five_MS2024.mat,,The Dave Brubeck Quartet,Jazz,music
17,data/musicCorp/CD/Ivo Pogorelich/Mozart_ Piano Sonatas K.283 _ K.331 _ Fantasia K.397/02 1. Allegro.m4a,02 1. Allegro,piano,0,1,5468400,44.1,124,0.6836734693877551,120,CD,STM_output/MATs/music_mat_wl4_CD/02 1. Allegro_MS2024.mat,,Ivo Pogorelich,Classical,music
18,data/musicCorp/CD/The Beatles/1962-1966 [Disc 2]/2-04 Day Tripper.m4a,2-04 Day Tripper,multi_Voi,1,1,5292000,44.1,120,0.423015873015873,120,CD,STM_output/MATs/music_mat_wl4_CD/2-04 Day Tripper_MS2024.mat,,The Beatles,Rock,music
19,data/musicCorp/CD/Jaqueline Ros/The Complete Sonatas _ Partitas For Solo Violin Vol. II/03 BWV1004 III. Sarabanda.m4a,03 BWV1004 III. Sarabanda,violin,0,1,5292000,44.1,120,0.5177324263038549,120,CD,STM_output/MATs/music_mat_wl4_CD/03 BWV1004 III. Sarabanda_MS2024.mat,,Jaqueline Ros,Classical,music
20,data/musicCorp/CD/Dexter Gordon/Gettin_ Around/06 Le Coiffeur.m4a,06 Le Coiffeur,multi,0,1,5292000,44.1,120,0.4526077097505669,120,CD,STM_output/MATs/music_mat_wl4_CD/06 Le Coiffeur_MS2024.mat,,Dexter Gordon,Jazz,music
21,"data/musicCorp/CD/Rinaldo Alessandrini_ Concerto Italiano/Bach_ Brandenburg Concertos [Disc 2]/2-01 Bach_ Brandenburg Concerto #4 In G, BWV 1049 - 1. Allegro.m4a","2-01 Bach_ Brandenburg Concerto #4 In G, BWV 1049 - 1. Allegro",multi,0,1,5468400,44.1,124,0.0465532879818594,120,CD,"STM_output/MATs/music_mat_wl4_CD/2-01 Bach_ Brandenburg Concerto #4 In G, BWV 1049 - 1. Allegro_MS2024.mat",,Rinaldo Alessandrini,Classical,music
22,"data/musicCorp/CD/Claudio Abbado_ Orchestra Mozart/Mozart_ Symphonies #39 _ 40/01 Mozart_ Symphony #39 In E Flat, K 543 - 1. Adagio, Allegro.m4a","01 Mozart_ Symphony #39 In E Flat, K 543 - 1. Adagio, Allegro",multi,0,1,5468400,44.1,124,0.8520408163265306,120,CD,"STM_output/MATs/music_mat_wl4_CD/01 Mozart_ Symphony #39 In E Flat, K 543 - 1. Adagio, Allegro_MS2024.mat",,Claudio Abbado,Classical,music
23,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 1]/1-01 Bach_ Cello Suite #1 In G, BWV 1007 - 1. Prelude.m4a","1-01 Bach_ Cello Suite #1 In G, BWV 1007 - 1. Prelude",cello,0,1,5468400,44.1,124,0.0202721088435374,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-01 Bach_ Cello Suite #1 In G, BWV 1007 - 1. Prelude_MS2024.mat",,Yo-Yo Ma,Classical,music
24,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 1]/1-01 Bach_ Cello Suite #1 In G, BWV 1007 - 1. Prelude.m4a","1-01 Bach_ Cello Suite #1 In G, BWV 1007 - 1. Prelude",cello,0,1,5468400,44.1,124,0.0202721088435374,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-01 Bach_ Cello Suite #1 In G, BWV 1007 - 1. Prelude_MS2024.mat",,Yo-Yo Ma,Classical,music
25,"data/musicCorp/CD/Kim Kashkashian, Robert Levin/Hindemith_ Viola Sonatas [Disc 2]/2-10 Hindemith_ Sonate F++r Viola _ Piano (1939) - 4. Finale.m4a",2-10 Hindemith_ Sonate F++r Viola _ Piano (1939) - 4. Finale,"viola, piano",0,1,5292000,44.1,120,0.216235827664399,120,CD,STM_output/MATs/music_mat_wl4_CD/2-10 Hindemith_ Sonate F++r Viola _ Piano (1939) - 4. Finale_MS2024.mat,,"Kim Kashkashian, Robert Levin",Classical,music
26,data/musicCorp/CD/The Dave Brubeck Quartet/Time Out/04 Three To Get Ready.m4a,04 Three To Get Ready,multi,0,1,5292000,44.1,120,0.3299773242630385,120,CD,STM_output/MATs/music_mat_wl4_CD/04 Three To Get Ready_MS2024.mat,,The Dave Brubeck Quartet,Jazz,music
27,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/14 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 7.m4a","14 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 7",piano,0,1,1058400,44.1,24,0.3406575963718821,24,CD,"STM_output/MATs/music_mat_wl4_CD/14 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 7_MS2024.mat",,Evgeny Kissin,Classical,music
28,data/musicCorp/CD/Red Hot Chili Peppers/Californication/05 Get On Top.m4a,05 Get On Top,multi_Voi,1,1,5292000,44.1,120,0.168140589569161,120,CD,STM_output/MATs/music_mat_wl4_CD/05 Get On Top_MS2024.mat,,Red Hot Chili Peppers,Rock,music
29,data/musicCorp/CD/Red Hot Chili Peppers/Californication/15 Road Trippin_.m4a,15 Road Trippin_,multi_Voi,1,1,5292000,44.1,120,0.2739909297052154,120,CD,STM_output/MATs/music_mat_wl4_CD/15 Road Trippin__MS2024.mat,,Red Hot Chili Peppers,Rock,music
30,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/35 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 2_ Var. 14.m4a","35 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 2_ Var. 14",piano,0,1,3528000,44.1,80,0.5232653061224489,80,CD,"STM_output/MATs/music_mat_wl4_CD/35 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 2_ Var. 14_MS2024.mat",,Evgeny Kissin,Classical,music
32,data/musicCorp/CD/Lyon James And Marylene Dosse/French Romantic Women Composers/02 Bohemienne.m4a,02 Bohemienne,"violin, piano",0,1,5468400,44.1,124,0.0159637188208616,120,CD,STM_output/MATs/music_mat_wl4_CD/02 Bohemienne_MS2024.mat,,Lyon James And Marylene Dosse,Classical,music
33,data/musicCorp/CD/Melia Watras/Viola Solo/08 Prestini_ Sympathique.m4a,08 Prestini_ Sympathique,viola,0,1,5292000,44.1,120,0.8693877551020408,120,CD,STM_output/MATs/music_mat_wl4_CD/08 Prestini_ Sympathique_MS2024.mat,,Melia Watras,Classical,music
34,"data/musicCorp/CD/Edgar Meyer/Bach_ Unaccompanied Cello Suites Performed On Double Bass/13 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 1. Prelude.m4a","13 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 1. Prelude",cello,0,1,5292000,44.1,120,0.1475510204081632,120,CD,"STM_output/MATs/music_mat_wl4_CD/13 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 1. Prelude_MS2024.mat",,Edgar Meyer,Classical,music
35,"data/musicCorp/CD/Edgar Meyer/Bach_ Unaccompanied Cello Suites Performed On Double Bass/13 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 1. Prelude.m4a","13 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 1. Prelude",cello,0,1,5292000,44.1,120,0.1475510204081632,120,CD,"STM_output/MATs/music_mat_wl4_CD/13 Bach_ Cello Suite #5 In C Minor, BWV 1011 - 1. Prelude_MS2024.mat",,Edgar Meyer,Classical,music
38,data/musicCorp/CD/Jaqueline Ros/The Complete Sonatas _ Partitas For Solo Violin Vol. II/09 BWV1005 IV. Allegro Assai.m4a,09 BWV1005 IV. Allegro Assai,violin,0,1,5292000,44.1,120,0.604421768707483,120,CD,STM_output/MATs/music_mat_wl4_CD/09 BWV1005 IV. Allegro Assai_MS2024.mat,,Jaqueline Ros,Classical,music
39,data/musicCorp/CD/Miles Davis/Kind Of Blue/03 Blue In Green.m4a,03 Blue In Green,multi,0,1,5292000,44.1,120,0.3289115646258503,120,CD,STM_output/MATs/music_mat_wl4_CD/03 Blue In Green_MS2024.mat,,Miles Davis,Jazz,music
40,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/04 Franck_ Prelude, Chorale _ Fugue - 1. Prelude.m4a","04 Franck_ Prelude, Chorale _ Fugue - 1. Prelude",piano,0,1,5821200,44.1,132,0.943265306122449,120,CD,"STM_output/MATs/music_mat_wl4_CD/04 Franck_ Prelude, Chorale _ Fugue - 1. Prelude_MS2024.mat",,Evgeny Kissin,Classical,music
41,data/musicCorp/CD/Lyon James And Marylene Dosse/French Romantic Women Composers/06 Tarantelle.m4a,06 Tarantelle,"violin, piano",0,1,5468400,44.1,124,0.0198412698412698,120,CD,STM_output/MATs/music_mat_wl4_CD/06 Tarantelle_MS2024.mat,,Lyon James And Marylene Dosse,Classical,music
44,data/musicCorp/CD/Arcade Fire/Arcade Fire/03 Modern Man.m4a,03 Modern Man,multi_Voi,1,1,5292000,44.1,120,0.7897052154195011,120,CD,STM_output/MATs/music_mat_wl4_CD/03 Modern Man_MS2024.mat,,Arcade Fire,Rock,music
45,data/musicCorp/CD/The Beatles/1962-1966 [Disc 2]/2-06 Norwegian Wood (This Bird Has Flown).m4a,2-06 Norwegian Wood (This Bird Has Flown),multi_Voi,1,1,5292000,44.1,120,0.4262358276643991,120,CD,STM_output/MATs/music_mat_wl4_CD/2-06 Norwegian Wood (This Bird Has Flown)_MS2024.mat,,The Beatles,Rock,music
46,data/musicCorp/CD/Melia Watras/Viola Solo/01 Arad_ Sonata For Viola Solo - Melancholia.m4a,01 Arad_ Sonata For Viola Solo - Melancholia,viola,0,1,5644800,44.1,128,0.5773015873015873,120,CD,STM_output/MATs/music_mat_wl4_CD/01 Arad_ Sonata For Viola Solo - Melancholia_MS2024.mat,,Melia Watras,Classical,music
47,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 2]/2-13 Bach_ Cello Suite #6 In D, BWV 1012 - 1. Prelude.m4a","2-13 Bach_ Cello Suite #6 In D, BWV 1012 - 1. Prelude",cello,0,1,5292000,44.1,120,0.9369614512471656,120,CD,"STM_output/MATs/music_mat_wl4_CD/2-13 Bach_ Cello Suite #6 In D, BWV 1012 - 1. Prelude_MS2024.mat",,Yo-Yo Ma,Classical,music
48,"data/musicCorp/CD/Rinaldo Alessandrini_ Concerto Italiano/Bach_ Brandenburg Concertos [Disc 1]/1-02 Bach_ Brandenburg Concerto #1 In F, BWV 1046 - Adagio.m4a","1-02 Bach_ Brandenburg Concerto #1 In F, BWV 1046 - Adagio",multi,0,1,5468400,44.1,124,0.0091609977324263,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-02 Bach_ Brandenburg Concerto #1 In F, BWV 1046 - Adagio_MS2024.mat",,Rinaldo Alessandrini,Classical,music
49,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 1]/1-03 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante.m4a","1-03 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante",cello,0,1,5292000,44.1,120,0.8749659863945578,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-03 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante_MS2024.mat",,Yo-Yo Ma,Classical,music
50,"data/musicCorp/CD/Yo-Yo Ma/Bach_ Cello Suites [Disc 1]/1-03 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante.m4a","1-03 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante",cello,0,1,5292000,44.1,120,0.8749659863945578,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-03 Bach_ Cello Suite #1 In G, BWV 1007 - 3. Courante_MS2024.mat",,Yo-Yo Ma,Classical,music
51,data/musicCorp/CD/Lyon James And Marylene Dosse/French Romantic Women Composers/13 Farrenc Sonata_ Finale.m4a,13 Farrenc Sonata_ Finale,"violin, piano",0,1,5292000,44.1,120,0.5175056689342403,120,CD,STM_output/MATs/music_mat_wl4_CD/13 Farrenc Sonata_ Finale_MS2024.mat,,Lyon James And Marylene Dosse,Classical,music
52,"data/musicCorp/CD/Kim Kashkashian, Robert Levin/Hindemith_ Viola Sonatas [Disc 2]/2-09 Hindemith_ Sonate F++r Viola _ Piano (1939) - 3. Phantasie.m4a",2-09 Hindemith_ Sonate F++r Viola _ Piano (1939) - 3. Phantasie,"viola, piano",0,1,5292000,44.1,120,0.3706802721088435,120,CD,STM_output/MATs/music_mat_wl4_CD/2-09 Hindemith_ Sonate F++r Viola _ Piano (1939) - 3. Phantasie_MS2024.mat,,"Kim Kashkashian, Robert Levin",Classical,music
53,"data/musicCorp/CD/Julian Bream/Bream Collection, Vol. 9 - Baroque Guitar/11 Weiss_ Tombeau Sur La Mort De M. Comte De Logy.m4a",11 Weiss_ Tombeau Sur La Mort De M. Comte De Logy,guitar,0,1,5292000,44.1,120,0.4141950113378684,120,CD,STM_output/MATs/music_mat_wl4_CD/11 Weiss_ Tombeau Sur La Mort De M. Comte De Logy_MS2024.mat,,Julian Bream,Classical,music
54,data/musicCorp/CD/Red Hot Chili Peppers/Californication/06 Californication.m4a,06 Californication,multi_Voi,1,1,5292000,44.1,120,0.3767573696145124,120,CD,STM_output/MATs/music_mat_wl4_CD/06 Californication_MS2024.mat,,Red Hot Chili Peppers,Rock,music
56,data/musicCorp/CD/U2/The Best Of 1980-1990/04 I Still Haven_t Found What I_M Looking For.m4a,04 I Still Haven_t Found What I_M Looking For,multi_Voi,1,1,5292000,44.1,120,0.2665986394557823,120,CD,STM_output/MATs/music_mat_wl4_CD/04 I Still Haven_t Found What I_M Looking For_MS2024.mat,,U2,Rock,music
57,data/musicCorp/CD/The Beatles/1967-1970 [Disc 1]/1-03 Sgt. Pepper_s Lonely Hearts Club Band.m4a,1-03 Sgt. Pepper_s Lonely Hearts Club Band,multi_Voi,1,1,5292000,44.1,120,0.8938321995464853,120,CD,STM_output/MATs/music_mat_wl4_CD/1-03 Sgt. Pepper_s Lonely Hearts Club Band_MS2024.mat,,The Beatles,Rock,music
58,data/musicCorp/CD/Kenny Burrell _ John Coltrane/Original Jazz Classics Collection/05 Crimson Lake.m4a,05 Crimson Lake,multi,0,1,5292000,44.1,120,0.3216780045351474,120,CD,STM_output/MATs/music_mat_wl4_CD/05 Crimson Lake_MS2024.mat,,Kenny Burrell ,Jazz,music
59,"data/musicCorp/CD/Evgeny Kissin/Beethoven_ Moonlight Sonata Franck_ Prelude, Chorale _ Fugue, Etc_/13 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 6.m4a","13 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 6",piano,0,1,882000,44.1,20,0.1103401360544217,20,CD,"STM_output/MATs/music_mat_wl4_CD/13 Brahms_ Variations On A Theme By Paganini, Op. 35 - Book 1_ Var. 6_MS2024.mat",,Evgeny Kissin,Classical,music
60,data/musicCorp/CD/Dexter Gordon/Gettin_ Around/08 Flick Of A Trick.m4a,08 Flick Of A Trick,multi,0,1,5292000,44.1,120,0.3958049886621315,120,CD,STM_output/MATs/music_mat_wl4_CD/08 Flick Of A Trick_MS2024.mat,,Dexter Gordon,Jazz,music
61,"data/musicCorp/CD/Kim Kashkashian/Hindemith_ Viola Sonatas [Disc 1]/1-05 Hindemith_ Sonate F++r Viola Solo, Op. 25_1 - 2. Sehr Langsam.m4a","1-05 Hindemith_ Sonate F++r Viola Solo, Op. 25_1 - 2. Sehr Langsam",viola,0,1,5292000,44.1,120,0.7419727891156462,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-05 Hindemith_ Sonate F++r Viola Solo, Op. 25_1 - 2. Sehr Langsam_MS2024.mat",,Kim Kashkashian,Classical,music
62,"data/musicCorp/CD/Charles Mackerras_ Scottish Chamber Orchestra/Beethoven_ Symphonies [Disc 2]/2-07 Beethoven_ Symphony #4 In B Flat, Op. 60 - 3. Allegro Vivace.m4a","2-07 Beethoven_ Symphony #4 In B Flat, Op. 60 - 3. Allegro Vivace",multi,0,1,5292000,44.1,120,0.7516780045351474,120,CD,"STM_output/MATs/music_mat_wl4_CD/2-07 Beethoven_ Symphony #4 In B Flat, Op. 60 - 3. Allegro Vivace_MS2024.mat",,Charles Mackerras,Classical,music
63,data/musicCorp/CD/The Beatles/1967-1970 [Disc 1]/1-11 Magical Mystery Tour.m4a,1-11 Magical Mystery Tour,multi_Voi,1,1,5292000,44.1,120,0.5335147392290249,120,CD,STM_output/MATs/music_mat_wl4_CD/1-11 Magical Mystery Tour_MS2024.mat,,The Beatles,Rock,music
64,data/musicCorp/CD/Arcade Fire/Arcade Fire/07 Half Light I.m4a,07 Half Light I,multi_Voi,1,1,5292000,44.1,120,0.0443537414965986,120,CD,STM_output/MATs/music_mat_wl4_CD/07 Half Light I_MS2024.mat,,Arcade Fire,Rock,music
65,"data/musicCorp/CD/Murray Perahia/Mozart_ Piano Sonatas K 310, 331 _ 533/07 Mozart_ Piano Sonata In F, K 533_494 - 1. Allegro.m4a","07 Mozart_ Piano Sonata In F, K 533_494 - 1. Allegro",piano,0,1,5468400,44.1,124,0.3306349206349206,120,CD,"STM_output/MATs/music_mat_wl4_CD/07 Mozart_ Piano Sonata In F, K 533_494 - 1. Allegro_MS2024.mat",,Murray Perahia,Classical,music
66,"data/musicCorp/CD/Kim Kashkashian/Hindemith_ Viola Sonatas [Disc 1]/1-11 Hindemith_ Sonate F++r Viola Solo Op. 11_5 - 1. Lebhaft, Aber Nicht Geeilt.m4a","1-11 Hindemith_ Sonate F++r Viola Solo Op. 11_5 - 1. Lebhaft, Aber Nicht Geeilt",viola,0,1,5292000,44.1,120,0.4597959183673469,120,CD,"STM_output/MATs/music_mat_wl4_CD/1-11 Hindemith_ Sonate F++r Viola Solo Op. 11_5 - 1. Lebhaft, Aber Nicht Geeilt_MS2024.mat",,Kim Kashkashian,Classical,music
67,data/musicCorp/CD/Ivo Pogorelich/Mozart_ Piano Sonatas K.283 _ K.331 _ Fantasia K.397/06 2. Menuetto.m4a,06 2. Menuetto,piano,0,1,5644800,44.1,128,0.7185034013605442,120,CD,STM_output/MATs/music_mat_wl4_CD/06 2. Menuetto_MS2024.mat,,Ivo Pogorelich,Classical,music
69,data/musicCorp/CD/Arcade Fire/Arcade Fire/05 Empty Room.m4a,05 Empty Room,multi_Voi,1,1,5292000,44.1,120,0.0706122448979591,120,CD,STM_output/MATs/music_mat_wl4_CD/05 Empty Room_MS2024.mat,,Arcade Fire,Rock,music
70,data/musicCorp/CD/Lyon James And Marylene Dosse/French Romantic Women Composers/07 Viardot Sonatine_ Adagio.m4a,07 Viardot Sonatine_ Adagio,"violin, piano",0,1,5468400,44.1,124,0.2656235827664399,120,CD,STM_output/MATs/music_mat_wl4_CD/07 Viardot Sonatine_ Adagio_MS2024.mat,,Lyon James And Marylene Dosse,Classical,music
71,data/musicCorp/CD/Lyon James And Marylene Dosse/French Romantic Women Composers/03 Berceuse.m4a,03 Berceuse,"violin, piano",0,1,5468400,44.1,124,0.003219954648526,120,CD,STM_output/MATs/music_mat_wl4_CD/03 Berceuse_MS2024.mat,,Lyon James And Marylene Dosse,Classical,music
72,data/musicCorp/CD/The Beatles/1962-1966 [Disc 2]/2-09 In My Life.m4a,2-09 In My Life,multi_Voi,1,1,5292000,44.1,120,0.3865532879818594,120,CD,STM_output/MATs/music_mat_wl4_CD/2-09 In My Life_MS2024.mat,,The Beatles,Rock,music
73,"data/musicCorp/CD/Jacqueline Ross/Bach_ Complete Sonatas _ Partitas For Solo Violin, Vol. 1/15 Bach_ Sonata #2 In A Minor For Solo Violin, BWV 1003 - 3. Andante.m4a","15 Bach_ Sonata #2 In A Minor For Solo Violin, BWV 1003 - 3. Andante",violin,0,1,5292000,44.1,120,0.3370975056689342,120,CD,"STM_output/MATs/music_mat_wl4_CD/15 Bach_ Sonata #2 In A Minor For Solo Violin, BWV 1003 - 3. Andante_MS2024.mat",,Jacqueline Ross,Classical,music
74,"data/musicCorp/CD/Edgar Meyer/Bach_ Unaccompanied Cello Suites Performed On Double Bass/04 Bach_ Cello Suite #2 In D Minor, BWV 1008 - 4. Sarabande.m4a","04 Bach_ Cello Suite #2 In D Minor, BWV 1008 - 4. Sarabande",cello,0,1,5292000,44.1,120,0.1217687074829931,120,CD,"STM_output/MATs/music_mat_wl4_CD/04 Bach_ Cello Suite #2 In D Minor, BWV 1008 - 4. Sarabande_MS2024.mat",,Edgar Meyer,Classical,music
