,filepath,filename,LangOrInstru,VoiOrNot,startPoint,endPoint,FSkhz,expdur,maxsil,totalLengCur,corpus,mat_filename,speaker/artist,gender,genre
10,"data/musicCorp/GarlandEncyclopedia/26 Sounds Of Large And Smell Friction Blocks, A Swung Slat, Ribbon Reeds, And Huma.mp3","26 Sounds Of Large And Smell Friction Blocks, A Swung Slat, Ribbon Reeds, And Huma",,0,1,1587600,44.1,36,0.3991156462585034,36,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/26 Sounds Of Large And Smell Friction Blocks, A Swung Slat, Ribbon Reeds, And Huma_MS2024.mat","26 Sounds Of Large And Smell Friction Blocks, A Swung Slat, Ribbon Reeds, And Huma",,world
11,data/musicCorp/GarlandEncyclopedia/17 My Friends Are In The Country.mp3,17 My Friends Are In The Country,,1,1,5115600,44.1,116,0.1635374149659864,116,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/17 My Friends Are In The Country_MS2024.mat,17 My Friends Are In The Country,,world
12,data/musicCorp/GarlandEncyclopedia/10 Excerpt From Pi-P_a-chi _The History Of The Lute Playing_.mp3,10 Excerpt From Pi-P_a-chi _The History Of The Lute Playing_,,1,1,5292000,44.1,120,0.38571428571428573,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/10 Excerpt From Pi-P_a-chi _The History Of The Lute Playing__MS2024.mat,10 Excerpt From Pi-P_a-chi _The History Of The Lute Playing_,,world
13,"data/musicCorp/GarlandEncyclopedia/27 Decknni Dance Song _Borieche Tari_ _Borim Boatman_, Goa.mp3","27 Decknni Dance Song _Borieche Tari_ _Borim Boatman_, Goa",,1,1,4762800,44.1,108,0.3227891156462585,104,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/27 Decknni Dance Song _Borieche Tari_ _Borim Boatman_, Goa_MS2024.mat","27 Decknni Dance Song _Borieche Tari_ _Borim Boatman_, Goa",,world
14,data/musicCorp/GarlandEncyclopedia/8-15 Faroe Islands.mp3,8-15 Faroe Islands,,1,1,3351600,44.1,76,0.1790249433106576,76,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-15 Faroe Islands_MS2024.mat,8-15 Faroe Islands,,world
15,data/musicCorp/GarlandEncyclopedia/8-24 Swiss Alphorn Trio.mp3,8-24 Swiss Alphorn Trio,,0,1,4410000,44.1,100,0.9943764172335601,100,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-24 Swiss Alphorn Trio_MS2024.mat,8-24 Swiss Alphorn Trio,,world
16,data/musicCorp/GarlandEncyclopedia/02 Chinese Ensemble With Song _Chung We Meng_ (Thailand).mp3,02 Chinese Ensemble With Song _Chung We Meng_ (Thailand),,0,1,5292000,44.1,120,0.4717233560090703,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/02 Chinese Ensemble With Song _Chung We Meng_ (Thailand)_MS2024.mat,02 Chinese Ensemble With Song _Chung We Meng_ (Thailand),,world
17,data/musicCorp/GarlandEncyclopedia/07 Hsiu Ho Pao [Xiu Hebao] _An Embroidered Purse_.mp3,07 Hsiu Ho Pao [Xiu Hebao] _An Embroidered Purse_,,0,1,5292000,44.1,120,0.14988662131519273,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/07 Hsiu Ho Pao [Xiu Hebao] _An Embroidered Purse__MS2024.mat,07 Hsiu Ho Pao [Xiu Hebao] _An Embroidered Purse_,,world
18,data/musicCorp/GarlandEncyclopedia/28 Benjo _keyed Zither_ Performance In Balochistan.mp3,28 Benjo _keyed Zither_ Performance In Balochistan,,0,1,5292000,44.1,120,0.24417233560090704,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/28 Benjo _keyed Zither_ Performance In Balochistan_MS2024.mat,28 Benjo _keyed Zither_ Performance In Balochistan,,world
19,data/musicCorp/GarlandEncyclopedia/33 Cherwick _Hutsulka_.mp3,33 Cherwick _Hutsulka_,,0,1,4586400,44.1,104,0.6067573696145124,100,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/33 Cherwick _Hutsulka__MS2024.mat,33 Cherwick _Hutsulka_,,world
20,data/musicCorp/GarlandEncyclopedia/03 Kyal Ang Gat.mp3,03 Kyal Ang Gat,,0,1,5292000,44.1,120,0.2651473922902494,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/03 Kyal Ang Gat_MS2024.mat,03 Kyal Ang Gat,,world
21,data/musicCorp/GarlandEncyclopedia/8-05 Basque Improvised Verse.mp3,8-05 Basque Improvised Verse,,1,1,2646000,44.1,60,0.07174603174603175,60,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-05 Basque Improvised Verse_MS2024.mat,8-05 Basque Improvised Verse,,world
22,"data/musicCorp/GarlandEncyclopedia/31 Pashtun Wedding Song, _Yaqorban_ _i Sacrifice Myself For You_ Of Southeastern A.mp3","31 Pashtun Wedding Song, _Yaqorban_ _i Sacrifice Myself For You_ Of Southeastern A",,1,1,5292000,44.1,120,0.23804988662131518,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/31 Pashtun Wedding Song, _Yaqorban_ _i Sacrifice Myself For You_ Of Southeastern A_MS2024.mat","31 Pashtun Wedding Song, _Yaqorban_ _i Sacrifice Myself For You_ Of Southeastern A",,world
23,"data/musicCorp/GarlandEncyclopedia/50 _E A Te Talatala Ni Matala Mai Haahine_ (As To The Tale The Women Told), Sikaia.mp3","50 _E A Te Talatala Ni Matala Mai Haahine_ (As To The Tale The Women Told), Sikaia",,1,1,2116800,44.1,48,0.39086167800453514,48,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/50 _E A Te Talatala Ni Matala Mai Haahine_ (As To The Tale The Women Told), Sikaia_MS2024.mat","50 _E A Te Talatala Ni Matala Mai Haahine_ (As To The Tale The Women Told), Sikaia",,world
24,data/musicCorp/GarlandEncyclopedia/32 Moroccan Jewish Song.mp3,32 Moroccan Jewish Song,,1,1,4233600,44.1,96,0.370702947845805,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/32 Moroccan Jewish Song_MS2024.mat,32 Moroccan Jewish Song,,world
25,data/musicCorp/GarlandEncyclopedia/14 Tongan Formal Dance-Song (Lakalaka).mp3,14 Tongan Formal Dance-Song (Lakalaka),,1,1,3880800,44.1,88,0.41058956916099776,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/14 Tongan Formal Dance-Song (Lakalaka)_MS2024.mat,14 Tongan Formal Dance-Song (Lakalaka),,world
26,"data/musicCorp/GarlandEncyclopedia/01 My Little Annie, So Sweet.mp3","01 My Little Annie, So Sweet",,1,1,5468400,44.1,124,0.004467120181405895,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/01 My Little Annie, So Sweet_MS2024.mat","01 My Little Annie, So Sweet",,world
27,data/musicCorp/GarlandEncyclopedia/37 Rara Instrumental Music.mp3,37 Rara Instrumental Music,,0,1,4586400,44.1,104,0.33927437641723357,100,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/37 Rara Instrumental Music_MS2024.mat,37 Rara Instrumental Music,,world
28,data/musicCorp/GarlandEncyclopedia/13 Basoga Lusoga Song.mp3,13 Basoga Lusoga Song,,1,1,5292000,44.1,120,0.820702947845805,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/13 Basoga Lusoga Song_MS2024.mat,13 Basoga Lusoga Song,,world
29,data/musicCorp/GarlandEncyclopedia/36 _Ri Daula_ Tigak Shark-Catching Song.mp3,36 _Ri Daula_ Tigak Shark-Catching Song,,1,1,2646000,44.1,60,0.8276643990929705,60,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/36 _Ri Daula_ Tigak Shark-Catching Song_MS2024.mat,36 _Ri Daula_ Tigak Shark-Catching Song,,world
30,data/musicCorp/GarlandEncyclopedia/05 Sikuriada (Music For Siku Panpipes).mp3,05 Sikuriada (Music For Siku Panpipes),,0,1,3880800,44.1,88,0.46226757369614513,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/05 Sikuriada (Music For Siku Panpipes)_MS2024.mat,05 Sikuriada (Music For Siku Panpipes),,world
31,data/musicCorp/GarlandEncyclopedia/07 Rapa Nui String-Figure Song (Pata_ Uta_ U).mp3,07 Rapa Nui String-Figure Song (Pata_ Uta_ U),,1,1,1058400,44.1,24,0.5061678004535147,24,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/07 Rapa Nui String-Figure Song (Pata_ Uta_ U)_MS2024.mat,07 Rapa Nui String-Figure Song (Pata_ Uta_ U),,world
32,data/musicCorp/GarlandEncyclopedia/04 Salaw Seung Pi Ensemble (Northern Thailand).mp3,04 Salaw Seung Pi Ensemble (Northern Thailand),,0,1,5292000,44.1,120,0.368140589569161,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/04 Salaw Seung Pi Ensemble (Northern Thailand)_MS2024.mat,04 Salaw Seung Pi Ensemble (Northern Thailand),,world
33,data/musicCorp/GarlandEncyclopedia/05 Beautiful Dreamer.mp3,05 Beautiful Dreamer,,1,1,5292000,44.1,120,0.6115873015873016,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/05 Beautiful Dreamer_MS2024.mat,05 Beautiful Dreamer,,world
34,data/musicCorp/GarlandEncyclopedia/13 Devi Amba Ro Dhak.mp3,13 Devi Amba Ro Dhak,,1,1,5292000,44.1,120,0.28965986394557824,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/13 Devi Amba Ro Dhak_MS2024.mat,13 Devi Amba Ro Dhak,,world
35,data/musicCorp/GarlandEncyclopedia/53 Maori Bellicose Dance-Song (Haka).mp3,53 Maori Bellicose Dance-Song (Haka),,1,1,4057200,44.1,92,0.4704081632653061,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/53 Maori Bellicose Dance-Song (Haka)_MS2024.mat,53 Maori Bellicose Dance-Song (Haka),,world
36,data/musicCorp/GarlandEncyclopedia/49 Samoan Store-Bought Ukulele.mp3,49 Samoan Store-Bought Ukulele,,0,1,1411200,44.1,32,0.3906575963718821,32,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/49 Samoan Store-Bought Ukulele_MS2024.mat,49 Samoan Store-Bought Ukulele,,world
37,"data/musicCorp/GarlandEncyclopedia/25 _Zancudito,_ Hatajo De Negritos.mp3","25 _Zancudito,_ Hatajo De Negritos",,1,1,5292000,44.1,120,0.2643537414965986,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/25 _Zancudito,_ Hatajo De Negritos_MS2024.mat","25 _Zancudito,_ Hatajo De Negritos",,world
38,data/musicCorp/GarlandEncyclopedia/19 Song By Blind Rondador (Panpipe) Player.mp3,19 Song By Blind Rondador (Panpipe) Player,,1,1,2646000,44.1,60,0.2515419501133787,56,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/19 Song By Blind Rondador (Panpipe) Player_MS2024.mat,19 Song By Blind Rondador (Panpipe) Player,,world
39,"data/musicCorp/GarlandEncyclopedia/26 _Gharibi_ Lyric Song Of Khorasan Province, Iran.mp3","26 _Gharibi_ Lyric Song Of Khorasan Province, Iran",,1,1,5997600,44.1,136,0.6385034013605442,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/26 _Gharibi_ Lyric Song Of Khorasan Province, Iran_MS2024.mat","26 _Gharibi_ Lyric Song Of Khorasan Province, Iran",,world
40,data/musicCorp/GarlandEncyclopedia/8-12 Norway_ Telemark _Leaping Dance_.mp3,8-12 Norway_ Telemark _Leaping Dance_,,0,1,3880800,44.1,88,0.08671201814058957,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-12 Norway_ Telemark _Leaping Dance__MS2024.mat,8-12 Norway_ Telemark _Leaping Dance_,,world
41,data/musicCorp/GarlandEncyclopedia/24 Tikuzen Biwa_ Excerpt From Tyusingura [More Commonly Chushingura].mp3,24 Tikuzen Biwa_ Excerpt From Tyusingura [More Commonly Chushingura],,1,1,5292000,44.1,120,0.990453514739229,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/24 Tikuzen Biwa_ Excerpt From Tyusingura [More Commonly Chushingura]_MS2024.mat,24 Tikuzen Biwa_ Excerpt From Tyusingura [More Commonly Chushingura],,world
42,data/musicCorp/GarlandEncyclopedia/14 Forro Do Pife (Forro For Banda De Pifanos).mp3,14 Forro Do Pife (Forro For Banda De Pifanos),,0,1,4939200,44.1,112,0.25145124716553285,108,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/14 Forro Do Pife (Forro For Banda De Pifanos)_MS2024.mat,14 Forro Do Pife (Forro For Banda De Pifanos),,world
43,data/musicCorp/GarlandEncyclopedia/07 Personal Song.mp3,07 Personal Song,,1,1,1940400,44.1,44,0.41054421768707483,44,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/07 Personal Song_MS2024.mat,07 Personal Song,,world
44,data/musicCorp/GarlandEncyclopedia/32 Usarufa Blood-Song (Naa-Ima).mp3,32 Usarufa Blood-Song (Naa-Ima),,1,1,3704400,44.1,84,0.957687074829932,80,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/32 Usarufa Blood-Song (Naa-Ima)_MS2024.mat,32 Usarufa Blood-Song (Naa-Ima),,world
45,data/musicCorp/GarlandEncyclopedia/16 North Indian Kathak Dance Syllables.mp3,16 North Indian Kathak Dance Syllables,,1,1,3880800,44.1,88,0.36179138321995463,88,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/16 North Indian Kathak Dance Syllables_MS2024.mat,16 North Indian Kathak Dance Syllables,,world
46,"data/musicCorp/GarlandEncyclopedia/13 _E Bonito Cantar_ (_Singing Is Beautiful_), Cantoria Of The Embolada Genre.mp3","13 _E Bonito Cantar_ (_Singing Is Beautiful_), Cantoria Of The Embolada Genre",,1,1,4057200,44.1,92,0.2546938775510204,88,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/13 _E Bonito Cantar_ (_Singing Is Beautiful_), Cantoria Of The Embolada Genre_MS2024.mat","13 _E Bonito Cantar_ (_Singing Is Beautiful_), Cantoria Of The Embolada Genre",,world
47,data/musicCorp/GarlandEncyclopedia/22 Saudi Woman_s Wedding Song.mp3,22 Saudi Woman_s Wedding Song,,1,1,5292000,44.1,120,0.3573922902494331,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/22 Saudi Woman_s Wedding Song_MS2024.mat,22 Saudi Woman_s Wedding Song,,world
48,data/musicCorp/GarlandEncyclopedia/51 _Otamu_ (Now Known To Some As _Ueue_) And _Takoto_ Tahitian Rhythmic Patterns.mp3,51 _Otamu_ (Now Known To Some As _Ueue_) And _Takoto_ Tahitian Rhythmic Patterns,,0,1,2116800,44.1,48,0.9406802721088435,48,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/51 _Otamu_ (Now Known To Some As _Ueue_) And _Takoto_ Tahitian Rhythmic Patterns_MS2024.mat,51 _Otamu_ (Now Known To Some As _Ueue_) And _Takoto_ Tahitian Rhythmic Patterns,,world
49,data/musicCorp/GarlandEncyclopedia/25 Sounds Of Four Ribbon Reeds And Six Human Moaners.mp3,25 Sounds Of Four Ribbon Reeds And Six Human Moaners,,0,1,882000,44.1,20,0.004013605442176871,16,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/25 Sounds Of Four Ribbon Reeds And Six Human Moaners_MS2024.mat,25 Sounds Of Four Ribbon Reeds And Six Human Moaners,,world
50,data/musicCorp/GarlandEncyclopedia/28 _Green Frog_ Arnhem Land Wangga Song.mp3,28 _Green Frog_ Arnhem Land Wangga Song,,1,1,5292000,44.1,120,0.8948299319727891,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/28 _Green Frog_ Arnhem Land Wangga Song_MS2024.mat,28 _Green Frog_ Arnhem Land Wangga Song,,world
51,data/musicCorp/GarlandEncyclopedia/01 Eastern Arab Art Music.mp3,01 Eastern Arab Art Music,,0,1,5644800,44.1,128,0.9741269841269842,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/01 Eastern Arab Art Music_MS2024.mat,01 Eastern Arab Art Music,,world
52,data/musicCorp/GarlandEncyclopedia/09 Tarkeada (Music For Tarka Flutes).mp3,09 Tarkeada (Music For Tarka Flutes),,0,1,5292000,44.1,120,0.2558503401360544,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/09 Tarkeada (Music For Tarka Flutes)_MS2024.mat,09 Tarkeada (Music For Tarka Flutes),,world
53,data/musicCorp/GarlandEncyclopedia/01 Kpelle Woi-Mene-Pele.mp3,01 Kpelle Woi-Mene-Pele,,1,1,5468400,44.1,124,0.058140589569160996,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/01 Kpelle Woi-Mene-Pele_MS2024.mat,01 Kpelle Woi-Mene-Pele,,world
54,data/musicCorp/GarlandEncyclopedia/12 The Revenge_ (Lyrical Aria From Qi Yaun Bao.mp3,12 The Revenge_ (Lyrical Aria From Qi Yaun Bao,,1,1,5292000,44.1,120,0.42741496598639456,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/12 The Revenge_ (Lyrical Aria From Qi Yaun Bao_MS2024.mat,12 The Revenge_ (Lyrical Aria From Qi Yaun Bao,,world
55,data/musicCorp/GarlandEncyclopedia/38 Nasioi Celebratory Dance-Music (Sinsing Kaur).mp3,38 Nasioi Celebratory Dance-Music (Sinsing Kaur),,1,1,5292000,44.1,120,0.7107936507936508,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/38 Nasioi Celebratory Dance-Music (Sinsing Kaur)_MS2024.mat,38 Nasioi Celebratory Dance-Music (Sinsing Kaur),,world
56,data/musicCorp/GarlandEncyclopedia/17 Firewalk.mp3,17 Firewalk,,0,1,3704400,44.1,84,0.2955328798185941,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/17 Firewalk_MS2024.mat,17 Firewalk,,world
57,"data/musicCorp/GarlandEncyclopedia/06 Raga Natakuranji, Jhama Tala.mp3","06 Raga Natakuranji, Jhama Tala",,1,1,5292000,44.1,120,0.26764172335600905,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/06 Raga Natakuranji, Jhama Tala_MS2024.mat","06 Raga Natakuranji, Jhama Tala",,world
58,data/musicCorp/GarlandEncyclopedia/35 Jewish-Yemenite Liturgical Song.mp3,35 Jewish-Yemenite Liturgical Song,,1,1,4057200,44.1,92,0.3653514739229025,92,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/35 Jewish-Yemenite Liturgical Song_MS2024.mat,35 Jewish-Yemenite Liturgical Song,,world
59,"data/musicCorp/GarlandEncyclopedia/20 Nirgun Bhajan (Hymn Of The Formless Divine, _Re Man Musaphir_ _Hey, Mind-Travel.mp3","20 Nirgun Bhajan (Hymn Of The Formless Divine, _Re Man Musaphir_ _Hey, Mind-Travel",,1,1,4939200,44.1,112,0.2396371882086168,112,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/20 Nirgun Bhajan (Hymn Of The Formless Divine, _Re Man Musaphir_ _Hey, Mind-Travel_MS2024.mat","20 Nirgun Bhajan (Hymn Of The Formless Divine, _Re Man Musaphir_ _Hey, Mind-Travel",,world
60,data/musicCorp/GarlandEncyclopedia/06 Accompanied Lam Salavane Repartee Song (Southern Laos).mp3,06 Accompanied Lam Salavane Repartee Song (Southern Laos),,1,1,5292000,44.1,120,0.39494331065759636,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/06 Accompanied Lam Salavane Repartee Song (Southern Laos)_MS2024.mat,06 Accompanied Lam Salavane Repartee Song (Southern Laos),,world
61,data/musicCorp/GarlandEncyclopedia/06 Yu Wo Lang _The Fish Lying On The Wave__ Xiao Fangniu _The Small Shepherd_.mp3,06 Yu Wo Lang _The Fish Lying On The Wave__ Xiao Fangniu _The Small Shepherd_,,0,1,5292000,44.1,120,0.7622675736961452,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/06 Yu Wo Lang _The Fish Lying On The Wave__ Xiao Fangniu _The Small Shepherd__MS2024.mat,06 Yu Wo Lang _The Fish Lying On The Wave__ Xiao Fangniu _The Small Shepherd_,,world
62,data/musicCorp/GarlandEncyclopedia/8-25 Polish Dance.mp3,8-25 Polish Dance,,1,1,3351600,44.1,76,0.15426303854875284,76,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-25 Polish Dance_MS2024.mat,8-25 Polish Dance,,world
63,data/musicCorp/GarlandEncyclopedia/09 Brush Dance Heavy Song.mp3,09 Brush Dance Heavy Song,,1,441001,2734200,44.1,52,0.9962131519274376,52,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/09 Brush Dance Heavy Song_MS2024.mat,09 Brush Dance Heavy Song,,world
64,data/musicCorp/GarlandEncyclopedia/8-40 Cyprus_ Foni Akathkiotissa.mp3,8-40 Cyprus_ Foni Akathkiotissa,,1,1,3528000,44.1,80,0.11959183673469388,80,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-40 Cyprus_ Foni Akathkiotissa_MS2024.mat,8-40 Cyprus_ Foni Akathkiotissa,,world
65,data/musicCorp/GarlandEncyclopedia/37 Baluan Bridewealth-Plying Song (W(E)Ii).mp3,37 Baluan Bridewealth-Plying Song (W(E)Ii),,1,1,4939200,44.1,112,0.8675056689342404,76,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/37 Baluan Bridewealth-Plying Song (W(E)Ii)_MS2024.mat,37 Baluan Bridewealth-Plying Song (W(E)Ii),,world
66,"data/musicCorp/GarlandEncyclopedia/29 _Sauke_ (The Name Of A Bird), Baluan Commemorative Song (Kolorai).mp3","29 _Sauke_ (The Name Of A Bird), Baluan Commemorative Song (Kolorai)",,1,1,5292000,44.1,120,0.8843990929705215,120,GarlandEncyclopedia,"STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/29 _Sauke_ (The Name Of A Bird), Baluan Commemorative Song (Kolorai)_MS2024.mat","29 _Sauke_ (The Name Of A Bird), Baluan Commemorative Song (Kolorai)",,world
67,data/musicCorp/GarlandEncyclopedia/04 Vai Call To Prayer.mp3,04 Vai Call To Prayer,,1,1,5468400,44.1,124,0.3960090702947846,120,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/04 Vai Call To Prayer_MS2024.mat,04 Vai Call To Prayer,,world
68,data/musicCorp/GarlandEncyclopedia/8-31 Bulgarian Wedding Dance.mp3,8-31 Bulgarian Wedding Dance,,0,1,3704400,44.1,84,0.7257596371882086,84,GarlandEncyclopedia,STM_output/MATs/music_mat_wl4_GarlandEncyclopedia/8-31 Bulgarian Wedding Dance_MS2024.mat,8-31 Bulgarian Wedding Dance,,world
